real_week	week	type	estimate_time	real_time
6	1	blackboard	6	11
6	1	blackboard	10	7
6	1	blackboard	10	11.5
6	1	blackboard	5	6
6	1	presentation	5	3
6	1	presentation	4	5
6	1	blackboard	6	12.5
6	1	presentation	10	10.5
6	1	presentation	5	4.5
6	1	blackboard	10	14
6	1	code	5	10
6	1	presentation	10	10.3
6	1	code	10	15
6	1	blackboard	10	13
7	2	presentation	10	12
7	2	code	5	12.5
7	2	code	5	6.7
7	2	code	5	5
7	2	blackboard	10	16
7	2	blackboard	5	7.5
7	2	blackboard	5	6
7	2	presentation	10	8
7	2	blackboard	10	11
7	2	presentation	10	8
7	2	blackboard	10	12
7	2	presentation	5	4
5	3	presentation	10	12
5	3	presentation	10	10
5	3	presentation	5	6
5	3	code	10	14
5	3	presentation	10	16
5	3	code	10	8
5	3	presentation	10	12
5	3	presentation	10	9
5	3	code	5	7
5	3	code	10	12
5	3	code	10	13
8	4	presentation	5	7
8	4	presentation	10	7
8	4	presentation	10	15
8	4	code	10	16
8	4	presentation	10	12
8	4	code	10	8
8	4	presentation	10	11
8	4	presentation	5	6
8	4	code	10	11
8	4	blackboard	15	15
9	5	presentation	10	12.6
9	5	presentation	5	7
9	5	presentation	5	7
9	5	presentation	5	13
9	5	blackboard	5	6
9	5	blackboard	10	16
9	5	code	7	13.5
9	5	presentation	5	4.5
9	5	presentation	10	11.5
9	5	code	5	8.5
9	5	presentation	10	14
9	5	presentation	7	9.5
9	5	code	8	10
9	5	code	5	8
1	6	presentation	10	9.5
1	6	presentation	10	10.2
1	6	presentation	15	14.6
1	6	code	10	13.5
1	6	presentation	8	13.6
1	6	presentation	10	7
1	6	blackboard	8	9
1	6	presentation	7	14
1	6	blackboard	7	12.5
1	6	code	5	10.5
1	6	code	7	12.5
1	6	code	8	14.5
1	6	code	5	14
1	6	code	5	6.2
11	7	presentation	10	14.5
11	7	presentation	15	14
11	7	presentation	10	12
11	7	presentation	10	13
11	7	code	5	9
11	7	presentation	5	6.3
11	7	code	5	11.5
11	7	presentation	10	13.6
11	7	code	10	13.1
10	8	presentation	0	4
10	8	presentation	10	10
10	8	presentation	10	14.5
10	8	code	10	12.5
10	8	presentation	15	9
10	8	presentation	15	14
10	8	code	10	12
10	8	presentation	10	7.5
10	8	presentation	7	12.5
10	8	presentation	8	11
10	8	code	7	9
10	8	code	8	6
2	9	presentation	10	14.5
2	9	blackboard	5	6
2	9	blackboard	10	10.2
2	9	code	5	11.5
2	9	presentation	10	11
2	9	presentation	6	6
2	9	presentation	9	9
2	9	blackboard	10	13
2	9	presentation	7	10.5
2	9	presentation	10	13
2	9	presentation	10	11.5
3	10	presentation	5	8
3	10	code	10	9
3	10	code	10	14
3	10	code	10	15
3	10	code	10	7
3	10	code	5	9
3	10	code	5	7
3	10	code	10	15
3	10	code	10	14
3	10	code	10	12
3	10	code	10	10
4	11	presentation	5	8
4	11	code	5	7
4	11	code	10	14.2
4	11	code	7	7
4	11	code	8	14
4	11	code	10	8.5
4	11	code	10	13
4	11	code	10	12
4	11	code	10	14
4	11	code	15	15
4	11	code	10	11.5
